Timestamp(ms),Output,Target,Tof
18581.43138885498,-35.769999999999996,60,81.0
18685.178518295288,-28.44566666666667,60,76.7
18788.161754608154,-21.461999999999993,60,72.6
18891.00432395935,-13.967333333333338,60,68.2
18994.672536849976,-3.747333333333338,60,62.2
19097.74923324585,0.8516666666666667,60,59.5
19200.899839401245,4.7693333333333285,60,57.2
19303.808450698853,8.175999999999995,60,55.2
19407.836198806763,10.049666666666663,60,54.1
19511.47484779358,11.412333333333338,60,53.3
19615.501403808594,13.115666666666671,60,52.3
19719.390392303467,12.604666666666663,60,52.6
19822.61610031128,14.13766666666666,60,51.7
19926.487684249878,13.456333333333331,60,52.1
20029.4988155365,13.797,60,51.9
20133.204460144043,13.626666666666667,60,52.0
20236.20080947876,13.115666666666671,60,52.3
20338.990688323975,13.115666666666671,60,52.3
20442.02494621277,11.412333333333338,60,53.3
20545.719623565674,10.560666666666672,60,53.8
20649.569749832153,9.197999999999999,60,54.6
20752.439737319946,7.8353333333333355,60,55.4
20855.202436447144,5.791333333333331,60,56.6
20958.18328857422,4.087999999999997,60,57.6
21061.49387359619,3.065999999999995,60,58.2
21165.873527526855,3.4066666666666667,60,58.0
21269.586324691772,3.4066666666666667,60,58.0
21373.60644340515,3.747333333333338,60,57.8
21476.584672927856,4.258333333333334,60,57.5
21579.973459243774,3.5770000000000026,60,57.9
21682.88516998291,4.087999999999997,60,57.6
21785.91251373291,3.5770000000000026,60,57.9
21889.17088508606,3.236333333333331,60,58.1
21992.398262023926,4.599000000000005,60,57.3
22095.683813095093,5.791333333333331,60,56.6
22199.51820373535,4.939666666666664,60,57.1
22302.388906478882,4.7693333333333285,60,57.2
22406.50773048401,4.258333333333334,60,57.5
22509.520769119263,4.087999999999997,60,57.6
22612.92862892151,4.7693333333333285,60,57.2
22715.930938720703,4.087999999999997,60,57.6
22818.909406661987,3.236333333333331,60,58.1
22921.836137771606,2.895666666666671,60,58.3
23025.847911834717,3.065999999999995,60,58.2
23129.019737243652,2.7253333333333356,60,58.4
23231.809854507446,2.895666666666671,60,58.3
23335.551738739014,2.3846666666666643,60,58.6
23438.645839691162,2.044000000000005,60,58.8
23542.5386428833,1.1923333333333381,60,59.3
23645.73073387146,1.5329999999999975,150,59.1
23748.82173538208,100,150,59.0
23852.834701538086,100,150,59.0
23955.87921142578,100,150,59.2
24058.90417098999,100,150,60.1
24162.00280189514,100,150,62.6
24265.840768814087,100,150,66.9
24369.853258132935,100,150,72.5
24473.427295684814,100,150,79.7
24576.261043548584,100,150,88.7
24679.98504638672,88.74366666666666,150,97.9
24782.9110622406,71.53999999999999,150,108.0
24886.57236099243,52.80333333333333,150,119.0
24990.613222122192,34.40733333333331,150,129.8
25094.51937675476,7.664999999999999,150,145.5
25298.241138458252,-7.664999999999999,150,154.5
